0000001222,   98073 ,  8.3 , Ladri di biciclette (1948)
0000001322,  644546 ,  8.3 , Toy Story (1995)
0000001222,  616784 ,  8.3 , Snatch (2000)
0000001222,  154698 ,  8.3 , Singin' in the Rain (1952)
0000001222,  915294 ,  8.3 , Inglourious Basterds (2009)
0000001222,   70757 ,  8.3 , The Kid (1921)
0000001222,  391995 ,  8.3 , Monty Python and the Holy Grail (1975)
0000001222,   89762 ,  8.3 , Arrival (2016/II)
0000001321,  424760 ,  8.3 , L.A. Confidential (1997)
0000001321,  163023 ,  8.3 , Per qualche dollaro in più (1965)
0000000123,  220164 ,  8.3 , 3 Idiots (2009)
0000001222,  106047 ,  8.3 , Rashômon (1950)
0000001222,  553107 ,  8.3 , Scarface (1983)
0000001222,  112925 ,  8.3 , The Apartment (1960)
0000001331,  179340 ,  8.2 , Jagten (2012)
0000001321,  530261 ,  8.2 , Indiana Jones and the Last Crusade (1989)
0000001223,  157224 ,  8.2 , Jodaeiye Nader az Simin (2011)
0000001222,  115344 ,  8.2 , Metropolis (1927)
0000001321,  625730 ,  8.2 , Good Will Hunting (1997)
0000001222,   85214 ,  8.2 , All About Eve (1950)
0000001222,   76295 ,  8.2 , Yôjinbô (1961)
0000001321,  1009797,   8.2,  Batman Begins (2005)
0000001222,  179943 ,  8.2 , Some Like It Hot (1959)
0000001222,   81520 ,  8.2 , The Treasure of the Sierra Madre (1948)
0000001222,  689277 ,  8.2 , Up (2009)
0000001321,  285462 ,  8.2 , Unforgiven (1992)
0000001321,  255217 ,  8.2 , Der Untergang (2004)
0000001222,  241429 ,  8.2 , Raging Bull (1980)
0000001222,  116897 ,  8.2 , The Third Man (1949)
0000001321,  608075 ,  8.2 , Die Hard (1988)
0000001223,   30912 ,  8.2 , Bacheha-Ye aseman (1997)
0000001321,  170484 ,  8.2 , The Great Escape (1963)
0000001222,  442416 ,  8.2 , Heat (1995)
0000001222,  222650 ,  8.2 , Chinatown (1974)
0000001222,  377078 ,  8.2 , Inside Out (2015/I)
0000001222,  480816 ,  8.2 , El laberinto del fauno (2006)
0000001222,   43893 ,  8.2 , Ikiru (1952)
0000001222,  180315 ,  8.2 , Tonari no Totoro (1988)
0000001222,  103784 ,  8.2 , On the Waterfront (1954)
0000001321,  190227 ,  8.2 , Room (2015/I)
0000001222,   80057 ,  8.2 , Ran (1985)
0000001222,   70257 ,  8.2 , The Gold Rush (1925)
0000001321,  137352 ,  8.2 , El secreto de sus ojos (2009)
0000001321,  153978 ,  8.2 , The Bridge on the River Kwai (1957)
0000001222,   79555 ,  8.2 , Mr. Smith Goes to Washington (1939)
0000001222,  473412 ,  8.2 , Blade Runner (1982)
0000001222,  115430 ,  8.2 , Det sjunde inseglet (1957)
0000000124,   34129 ,  8.2 , Andaz Apna Apna (1994)
0000001222,  222533 ,  8.2 , Hauru no ugoku shiro (2004)
0000001321,  425557 ,  8.2 , Lock, Stock and Two Smoking Barrels (1998)
