title,aka,genres,year,votes,rating
Pirates of the Caribbean: The Curse of the Black Pearl (2003),"['Fluch der Karibik (2003)', 'Fluch der Karibik (2003)', 'La maledizione della prima luna (2003)', 'La maledizione della prima luna - Pirates of the Caribbean (2003)', 'P.O.T.C. (2003)', 'Pirates of the Caribbean (2002)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Pirati dei Caraibi: La maledizione della prima luna (2003)']","['Action', 'Adventure', 'Fantasy']",[2003],830954,8.0
The Wolf of Wall Street (2013),"['The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)', 'The Wolf of Wall Street (2013)']","['Biography', 'Comedy', 'Crime', 'Drama']",[2013],816079,8.2
V for Vendetta (2005),"['V for Vendetta (2005)', 'V for Vendetta: At the IMAX (2006)', 'V for Vendetta: The IMAX Experience (2006)', 'V per Vendetta (2006)', 'V wie Vendetta (2006)']","['Action', 'Drama', 'Thriller']",[2005],816008,8.2
Shutter Island (2010),"['Ashecliffe (2008)', 'Shutter Island (2010)']","['Mystery', 'Thriller']",[2010],814692,8.1
Titanic (1997),"['Planet Ice (1996)', 'The Ship of Dreams (1996)', 'Titanic (1997)', 'Titanic (1997)', 'Titanic in 3D (2012)', 'Titanic: The IMAX Experience (2012)']","['Drama', 'Romance']",[1997],813307,7.7
The Green Mile (1999),"['Il miglio verde (2000)', ""Stephen King's The Green Mile (1999)"", 'The Green Mile (1999)', 'The Green Mile (1999)']","['Crime', 'Drama', 'Fantasy', 'Mystery']",[1999],812592,8.5
American History X (1998),"['American History X (1998)', 'American History X (1998)', 'American History X (1998)', 'American History X (1998)', 'American History X (1998)', 'American History X (1998)', 'American History X (1998)', 'American History X (1998)', 'American History X (1998)', 'American History X (1998)']","['Crime', 'Drama']",[1998],804572,8.6
Terminator 2: Judgment Day (1991),"['El Exterminator 2 (1991)', 'T2 (1991)', 'T2 - Terminator 2: Judgment Day (1991)', 'T2: Extreme Edition (1991)', 'T2: Ultimate Edition (1991)', 'Terminator 2 - Il giorno del giudizio (1991)', 'Terminator 2 - Le jugement dernier (1991)', 'Terminator 2 - Tag der Abrechnung (1991)', 'Terminator 2: Judgment Day (1991)', 'Terminator 2: Judgment Day (1991)', 'Terminator 2: Judgment Day (1991)', 'Terminator 2: Judgment Day (1991)']","['Action', 'Sci-Fi']",[1991],765093,8.5
The Usual Suspects (1995),"['Die üblichen Verdächtigen (1996)', 'Die üblichen Verdächtigen (1996)', 'I soliti sospetti (1995)']","['Crime', 'Drama', 'Mystery', 'Thriller']",[1995],762694,8.6
Braveheart (1995),"['Braveheart (1995)', 'Braveheart (1995)', 'Braveheart - Cuore impavido (1995)']","['Biography', 'Drama', 'History', 'War']",[1995],757034,8.4
Kill Bill: Vol. 1 (2003),"['Kill Bill (2003)', 'Kill Bill - Volume 1 (2003)', 'Kill Bill Part 1 (2003)', 'Kill Bill: Vol. 1 (2003)', 'Kill Bill: Volume 1 (2003)', ""Quentin Tarantino's Kill Bill: Volume One (2003)""]","['Action', 'Crime', 'Thriller']",[2003],756718,8.1
Back to the Future (1985),"['Ritorno al futuro (1985)', 'Zurück in die Zukunft (1985)', 'Zurück in die Zukunft (1991)']","['Adventure', 'Comedy', 'Sci-Fi']",[1985],756619,8.5
Goodfellas (1990),"['Good Fellas (1990)', 'GoodFellas (1990)', 'GoodFellas (1990)', 'GoodFellas (1990)', 'GoodFellas - Drei Jahrzehnte in der Mafia (1990)', 'GoodFellas - Drei Jahrzehnte in der Mafia (1991)', 'GoodFellas: Drei Jahrzehnte in der Mafia (1990)', 'Goodfellas (1990)', 'Quei bravi ragazzi (1990)', 'Wiseguy (1990)']","['Biography', 'Crime', 'Drama']",[1990],750101,8.7
