title,aka,genres,year,votes,rating
American Psycho (2000),['American Psycho (2000)'],"['Crime', 'Drama']",[2000],367361,7.6
Crash (2004/I),"['Crash: Contatto fisico (2005)', 'L.A. Crash (2005)']","['Crime', 'Drama', 'Thriller']",[2004],366544,7.9
The Butterfly Effect (2004),"['Butterfly Effect (2004)', ""L'effet papillon (2004)"", 'The Butterfly Effect (2004)']","['Sci-Fi', 'Thriller']",[2004],366336,7.7
Edward Scissorhands (1990),"['Edward Scissorhands (1990)', 'Edward mani di forbice (1990)', 'Edward mit den Scherenhänden (1991)', 'Edward mit den Scherenhänden (1991)']","['Drama', 'Fantasy', 'Romance']",[1990],366192,7.9
American Hustle (2013),"['American Bullshit (2013)', ""American Hustle - L'apparenza inganna (2013)""]","['Crime', 'Drama']",[2013],366169,7.3
Little Miss Sunshine (2006),[],"['Comedy', 'Drama']",[2006],363543,7.8
The Perks of Being a Wallflower (2012),"['Noi siamo infinito (2012)', 'Vielleicht lieber morgen (2012)']","['Drama', 'Romance']",[2012],362504,8.0
Hot Fuzz (2007),"['Blue Fury (2007)', ""Bubblin' Fizz (2007)"", 'Dead Right (2007)', ""Feelin' Fuzzier (2007)"", 'Hot Fuzz - Verbrechen verboten (2007)', 'Hot Fuzz - Zwei abgewichste Profis (2007)', 'Raging Fuzz (2006)']","['Action', 'Comedy', 'Mystery']",[2007],361181,7.9
The Bourne Supremacy (2004),"['Die Bourne Verschwörung (2004)', 'Die Bourne Verschwörung (2004)']","['Action', 'Mystery', 'Thriller']",[2004],360501,7.8
Horrible Bosses (2011),"['Come ammazzare il capo... e vivere felici (2011)', 'Kill the Boss (2011)']","['Comedy', 'Crime']",[2011],359898,6.9
Mr. & Mrs. Smith (2005),"['Mr. & Mrs. Smith (2005)', 'Mr. & Mrs. Smith (2005)', 'Mr. and Mrs. Smith (2005)']","['Action', 'Comedy', 'Crime', 'Romance', 'Thriller']",[2005],358085,6.5
Big Fish (2003),"['Big Fish - Der Zauber, der ein Leben zur Legende macht (2004)', 'Big Fish - Le storie di una vita incredibile (2004)']","['Adventure', 'Drama', 'Fantasy']",[2003],356611,8.0
Captain America: Civil War (2016),"['Captain America 3 (2016)', 'Captain America: Civil War (2016)', 'Captain America: Civil War 3D (2016)', 'Captain America: Serpent Society (2016)', 'Captain America: The Fallen Son (2016)', 'Sputnik (2016)', 'The First Avenger: Civil War (2016)']","['Action', 'Adventure', 'Sci-Fi']",[2016],355693,8.0
Twilight (2008/I),['Twilight - Biss zum Morgengrauen (2009)'],"['Drama', 'Fantasy', 'Romance']",[2008],353570,5.2
Hancock (2008),"['Hancock (2008)', 'Hidden from Earth (2008)', 'John Hancock (2008)', 'Tonight, He Comes (2007)']","['Action', 'Crime', 'Drama', 'Fantasy']",[2008],352799,6.4
Le cinquième élément (1997),"['Das fünfte Element (1997)', 'Das fünfte Element (1997)', 'Il quinto elemento (1997)', 'Le cinquième élément (1997)', 'Le cinquième élément (1997)', 'The 5th Element (1997)', 'The Fifth Element (1997)', 'The Fifth Element (1997)']","['Action', 'Adventure', 'Sci-Fi']",[1997],351388,7.7
Back to the Future Part II (1989),"['Back to the Future Part II (1989)', 'Back to the Future Part II (1989)', 'Back to the Future Part II (1989)', 'Back to the Future Part II (1989)', 'Back to the Future Part II (1989)', 'Paradox (1988)', 'Ritorno al futuro - Parte II (1989)', 'Zurück in die Zukunft II (1989)', 'Zurück in die Zukunft II (1989)', 'Zurück in die Zukunft II (1991)', 'Zurück in die Zukunft Teil II (1989)', 'Zurück in die Zukunft Teil II (1989)']","['Adventure', 'Comedy', 'Sci-Fi']",[1989],351341,7.8
Divergent (2014),"['Die Bestimmung - Divergent (2014)', 'Divergent (2014)']","['Adventure', 'Mystery', 'Sci-Fi']",[2014],350265,6.7
The Pursuit of Happyness (2006),"['Das Streben nach Glück (2007)', 'Das Streben nach Glück (2007)', 'La ricerca della felicità (2007)', 'The Pursuit of Happiness (2006)', 'Untitled Chris Gardner Project (2006)']","['Biography', 'Drama']",[2006],348361,8.0
Elysium (2013/I),[],"['Action', 'Drama', 'Sci-Fi', 'Thriller']",[2013],346730,6.6
Sherlock Holmes: A Game of Shadows (2011),"['Sherlock Holmes - Gioco di ombre (2011)', 'Sherlock Holmes - Spiel im Schatten (2011)', 'Sherlock Holmes 2 (2010)']","['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",[2011],346307,7.5
Mystic River (2003),"['Mystic River (2003)', 'Mystic River (2003)']","['Crime', 'Drama', 'Mystery', 'Thriller']",[2003],345293,8.0
Casino (1995),"['Casino (1995)', 'Casino (1995)', 'Casino (1995)', 'Casino (1995)', 'Casinò (1995)']","['Biography', 'Crime', 'Drama']",[1995],343635,8.2
Warrior (2011),['Warrior (2011)'],"['Drama', 'Sport']",[2011],342062,8.2
War of the Worlds (2005),"['Krieg der Welten (2005)', 'La guerra dei mondi (2005)', 'Out of the Night (2004)', 'Party in Fresno (2005)']","['Adventure', 'Sci-Fi', 'Thriller']",[2005],341849,6.5
Live Free or Die Hard (2007),"['Die Hard - Vivere o morire (2007)', 'Die Hard 4 (2006)', 'Die Hard 4.0 (2006)', 'Die Hard 4.0 (2007)', 'Die Hard 4.0 (2007)', 'Die Hard 4.0 (2007)', 'Die Hard 4.0 (2007)', 'Die Hard 4: Die Hardest (2004)', 'Die Hard 4: Live Free or Die Hard (2007)', 'Die Hard: Reset (2006)', 'Die Hard: Tears of the Sun (2006)', 'Stirb langsam 4.0 (2007)', 'WW3.com (1998)']","['Action', 'Adventure', 'Thriller']",[2007],340763,7.2
The Day After Tomorrow (2004),"['The Day After Tomorrow (2004)', ""The Day After Tomorrow - L'alba del giorno dopo (2004)"", 'Tomorrow (2002)']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[2004],340623,6.4
Harry Potter and the Deathly Hallows: Part 1 (2010),"['Harry Potter e i Doni della Morte - Parte 1 (2010)', 'Harry Potter und die Heiligtümer des Todes - Teil 1 (2010)', 'The Deathly Hallows (2010)']","['Adventure', 'Family', 'Fantasy', 'Mystery']",[2010],340623,7.7
Indiana Jones and the Kingdom of the Crystal Skull (2008),"['Fourth Installment of the Indiana Jones Adventures (2007)', 'Indiana Jones 4 (2004)', 'Indiana Jones and the City of the Gods (2007)', 'Indiana Jones and the Kingdom of the Crystal Skull (2008)', 'Indiana Jones e il regno del teschio di cristallo (2008)', 'Indiana Jones und das Königreich des Kristallschädels (2008)', 'Raiders of the Lost Ark Sequel (2008)', 'The Untitled Genre Project (2007)']","['Action', 'Adventure', 'Fantasy']",[2008],340588,6.2
The Hurt Locker (2008),['Tödliches Kommando - The Hurt Locker (2009)'],"['Drama', 'History', 'Thriller', 'War']",[2008],339917,7.6
Indiana Jones and the Temple of Doom (1984),"['Indiana Jones 2 (1984)', 'Indiana Jones and the Temple of Doom (1984)', 'Indiana Jones e il tempio maledetto (1984)', 'Indiana Jones und der Tempel des Todes (1984)', 'Indiana Jones und der Tempel des Todes (1991)', 'Indy II (1984)', 'Raiders 2 (1984)', 'The Temple of Doom (1983)']","['Action', 'Adventure']",[1984],339157,7.6
Ant-Man (2015),['Ant-Man 3D (2015)'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",[2015],338556,7.4
Lucy (2014/I),['Lucy (2014)'],"['Action', 'Sci-Fi', 'Thriller']",[2014],338479,6.4
Quantum of Solace (2008),"['007 - Quantum of Solace (2008)', 'Agente 007 - Quantum of Solace (2008)', 'B22 (2008)', 'Bond 22 (2006)', 'Evening Prayer (2008)', 'James Bond 007 - Ein Quantum Trost (2008)', 'QoS (2008)', 'Quantum (2008)', 'Quantum of Solace (2008)']","['Action', 'Adventure']",[2008],338256,6.7
The Girl with the Dragon Tattoo (2011),"['Millennium - Uomini che odiano le donne (2011)', 'Verblendung (2012)']","['Crime', 'Drama', 'Mystery', 'Thriller']",[2011],338005,7.8
Dallas Buyers Club (2013),['The Dallas Buyers Club (2006)'],"['Biography', 'Drama']",[2013],337341,8.0
American Sniper (2014),"['American Sniper (2014)', 'American Sniper (2014)', 'Der Scharfschütze (2015)']","['Action', 'Biography', 'Drama', 'History', 'Thriller', 'War']",[2014],336716,7.3
The Wolverine (2013),"['The Wolverine: Der Weg des Kriegers (2013)', 'Uruvârin: SAMURAI (2013)', ""Wolverine - L'immortale (2013)"", 'Wolverine 2 (2012)', 'Wolverine: Samurai (2013)', 'Wolverine: Weg des Kriegers (2013)', 'X-Men Origins: Wolverine 2 (2013)']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[2013],336215,6.7
Ice Age (2002),"['Ice Age (2002)', ""L'era glaciale (2002)"", 'The Ice Age (2001)']","['Adventure', 'Animation', 'Comedy', 'Family']",[2002],336214,7.6
Harry Potter and the Half-Blood Prince (2009),"['HP and the HBP (2009)', 'Harry Potter and the Half-Blood Prince (2009)', 'Harry Potter and the Half-Blood Prince: An IMAX 3D Experience (2009)', 'Harry Potter e il principe mezzosangue (2009)', 'Harry Potter und der Halbblutprinz (2009)', 'The Half-Blood Prince (2009)']","['Adventure', 'Family', 'Fantasy', 'Mystery']",[2009],334577,7.5
The Incredible Hulk (2008),"['Der unglaubliche Hulk (2008)', 'Hulk 2 (2006)', ""L'incredibile Hulk (2008)""]","['Action', 'Adventure', 'Sci-Fi']",[2008],333601,6.8
Captain Phillips (2013),"[""A Captain's Duty (2013)"", ""A Captain's Story (2013)"", 'Captain Phillips - Attacco in mare aperto (2013)', 'Maersk Alabama (2013)']","['Biography', 'Drama', 'Thriller']",[2013],332448,7.9
Transformers: Dark of the Moon (2011),"['D.O.T.M. (2011)', 'Transformers 3 (2010)', 'Transformers 3 (2011)', 'Transformers 3 - Die dunkle Seite des Mondes (2011)', 'Transformers 3: Dark of the Moon (2011)', 'Transformers: Dark of the Moon (2011)', 'Transformers: Dark of the Moon - An IMAX 3D Experience (2011)', 'Transformers: Dark of the Moon 3D (2011)']","['Action', 'Adventure', 'Sci-Fi']",[2011],331299,6.3
American Gangster (2007),"['American Gangster (2007)', 'American Gangster (2007)', 'American Gangster (2007)', 'American Gangster (2007)', 'American Gangster (2007)', 'American Gangster (2007)', 'The Return of Superfly (2007)', 'Tru Blu (2006)']","['Biography', 'Crime', 'Drama']",[2007],330243,7.8
Charlie and the Chocolate Factory (2005),"['Charlie and the Chocolate Factory: The IMAX Experience (2005)', 'Charlie und die Schokoladenfabrik (2005)', 'Charlie und die Schokoladenfabrik (2005)', 'La fabbrica di cioccolato (2005)']","['Adventure', 'Comedy', 'Family', 'Fantasy']",[2005],329870,6.7
The Amazing Spider-Man 2 (2014),"['London Calling (2013)', 'Spiderman (2014)', 'The Amazing Spider-Man 2 - Il potere di Electro (2014)', 'The Amazing Spider-Man 2: Rise of Electro (2014)', 'The Amazing Spider-Man 2: Rise of Electro (2014)', 'The Amazing Spider-Man 2: Rise of Electro (2014)']","['Action', 'Adventure', 'Sci-Fi']",[2014],329612,6.7
Armageddon (1998),"['Armageddon (1998)', 'Armageddon - Das jüngste Gericht (1998)', 'Armageddon - Das jüngste Gericht (1998)', 'Armageddon - Giudizio finale (1998)']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[1998],328898,6.6
Transformers: Revenge of the Fallen (2009),"['Prime Directive (2008)', 'R.O.T.F. (2009)', 'Transformers - Die Rache (2009)', 'Transformers - La vendetta del caduto (2009)', 'Transformers 2 (2008)', 'Transformers: Revenge of the Fallen (IMAX DMR version) (2009)', 'Transformers: Revenge of the Fallen - The IMAX Experience (2009)']","['Action', 'Adventure', 'Sci-Fi']",[2009],328421,6.0
Lost in Translation (2003),"['Lost in Translation (2003)', ""Lost in Translation - L'amore tradotto (2003)"", 'Lost in Translation - Zwischen den Welten (2004)']",['Drama'],[2003],328392,7.8
The Help (2011),['The Help (2011)'],['Drama'],[2011],328106,8.1
Love Actually (2003),"['Love Actually (2003)', ""Love Actually - L'amore davvero (2003)"", 'Love Actually Is All Around (2003)', 'Love Actually Is All Around (2003)', 'Tatsächlich... Liebe (2003)', 'Tatsächlich... Liebe (2003)', 'Untitled Richard Curtis Project (2002)']","['Comedy', 'Drama', 'Romance']",[2003],326690,7.7
Dawn of the Planet of the Apes (2014),"['Apes Revolution - Il pianeta delle scimmie (2014)', 'Il pianeta delle scimmie - Revolution (2014)', 'La conquista del pianeta delle scimmie (2014)', 'Planet der Affen: Revolution (2014)', 'Untitled Rise of the Planet of the Apes Sequel (2014)']","['Action', 'Adventure', 'Drama', 'Sci-Fi']",[2014],326357,7.6
The Da Vinci Code (2006),"['Da Vinci Code (2006)', 'Il codice da Vinci (2006)', 'The Da Vinci Code - Sakrileg (2006)', 'The Da Vinci Code - Sakrileg (2006)', 'The DaVinci Code (2006)']","['Mystery', 'Thriller']",[2006],325823,6.6
We're the Millers (2013),"['Come ti spaccio la famiglia (2013)', 'Wir sind die Millers (2013)']","['Comedy', 'Crime']",[2013],324548,7.0
Rush (2013/I),['Rush - Alles für den Sieg (2013)'],"['Action', 'Biography', 'Drama', 'Sport']",[2013],324547,8.1
The Last Samurai (2003),"[""L'ultimo samurai (2004)"", 'Last Samurai (2003)', 'Last Samurai (2003)', 'Samurai (2003)', 'The Last Samurai: Bushidou (2003)']","['Action', 'Drama', 'History', 'War']",[2003],323905,7.7
The Mummy (1999),"['Die Mumie (1999)', 'Die Mumie (1999)', 'La mummia (1999)', 'The Mummy (1999)']","['Action', 'Adventure', 'Fantasy']",[1999],323092,7.0
Shrek 2 (2004),['Shrek 2 - Der tollkühne Held kehrt zurück (2004)'],"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",[2004],322695,7.2
Home Alone (1990),"['Kevin - Allein zu Haus (1991)', ""Mamma, ho perso l'aereo (1990)""]","['Comedy', 'Family']",[1990],322613,7.5
The Maze Runner (2014),"['El corredor del laberinto (2014)', 'Maze Runner (2014)', 'Maze Runner - Die Auserwählten im Labyrinth (2014)', 'Maze Runner - Il labirinto (2014)', 'The Maze Runner (2014)']","['Action', 'Mystery', 'Sci-Fi', 'Thriller']",[2014],321890,6.8
Gangs of New York (2002),"['Gangs of New York (2002)', 'Gangs of New York (2002)']","['Crime', 'Drama']",[2002],321622,7.5
King Kong (2005),"['King Kong (2005)', 'King Kong (2005)', 'Kong: The Eighth Wonder of the World (2005)', ""Peter Jackson's King Kong (2005)""]","['Action', 'Adventure', 'Drama', 'Romance']",[2005],321502,7.2
American Pie (1999),"['American Pie (1999)', 'American Pie: Wie ein Heisser Apfelkuchen (2000)', 'East Great Falls High (1998)', 'Great Falls (1998)']",['Comedy'],[1999],320657,7.0
The 40 Year Old Virgin (2005),"['40 anni vergine (2006)', 'Jungfrau (40), männlich, sucht (2005)', 'Jungfrau (40), männlich, sucht... (2005)', 'The 40 Year-Old Virgin (2005)', 'The 40 Year-Old Virgin (2005)', 'The 40-Year-Old Virgin (2005)', 'The 40-Year-Old Virgin (2005)', 'Untitled Steve Carell Project (2004)']","['Comedy', 'Romance']",[2005],319641,7.1
This Is the End (2013),"['Das ist das Ende (2013)', 'Das ist das Ende (2013)', 'Facciamola finita (2013)', 'Jay and Seth Vs. the Apocolapyse (2012)', 'The Apocalypse (2013)', 'The End of the World (2008)']","['Comedy', 'Fantasy']",[2013],318118,6.7
Beauty and the Beast (1991),"['Beauty and the Beast 3-D (2010)', 'Die Schöne und das Biest (1992)', 'La bella e la bestia (1992)', 'The Special Edition of Beauty and the Beast (1991)']","['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",[1991],317084,8.0
The Hunger Games: Mockingjay - Part 1 (2014),"['Die Tribute von Panem - Mockingjay: Teil 1 (2014)', 'Hunger Games: Il canto della rivolta - Parte I (2014)', 'Seashore (2014)', 'The Hunger Games: Mockingjay - Part 1 (2014)']","['Adventure', 'Sci-Fi', 'Thriller']",[2014],316570,6.7
Kung Fu Panda (2008),"['Kung Fu Panda (2008)', 'Kung Fu Panda: The IMAX Experience (2008)']","['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",[2008],316303,7.6
Fury (2014),"['Fury (2014)', 'Herz aus Stahl (2014)']","['Action', 'Drama', 'War']",[2014],315845,7.6
The Conjuring (2013),"['Conjuring - Die Heimsuchung (2013)', ""L'evocazione - The Conjuring (2013)"", 'The Warren Files (2013)']","['Horror', 'Mystery', 'Thriller']",[2013],315455,7.5
Alice in Wonderland (2010/I),"['Alice (2007)', 'Alice im Wunderland (2010)', 'Alice im Wunderland (2010)', 'Alice in Wonderland: An IMAX 3D Experience (2010)']","['Adventure', 'Family', 'Fantasy']",[2010],314869,6.5
In Bruges (2008),"['Brügge sehen... und sterben? (2008)', ""In Bruges - La coscienza dell'assassino (2008)""]","['Comedy', 'Crime', 'Drama']",[2008],314231,8.0
Zodiac (2007),"['Chronicles (2006)', 'Zodiac (2007)', 'Zodiac - Die Spur des Killers (2007)']","['Crime', 'Drama', 'History', 'Mystery', 'Thriller']",[2007],313586,7.7
Training Day (2001),"['Training Day (2001)', 'Training Day (2001)', 'Training Day (2001)']","['Crime', 'Drama', 'Thriller']",[2001],313158,7.7
Tropic Thunder (2008),"['Tropic Thunder (2008)', 'Tropic Thunder - Hol Dir die volle Dröhnung! (2008)']","['Action', 'Comedy']",[2008],313039,7.0
The Terminal (2004),"['Terminal (2004)', 'Terminal (2004)', 'The Terminal (2004)']","['Comedy', 'Drama', 'Romance']",[2004],312404,7.3
Terminator 3: Rise of the Machines (2003),"['T3 (2003)', 'T3: Rise of the Machines (2002)', 'Terminator 3 (2000)', 'Terminator 3 - Le macchine ribelli (2003)', 'Terminator 3 - Rebellion der Maschinen (2003)', 'Terminator 3 - Rebellion der Maschinen (2003)', 'York Square (2002)']","['Action', 'Sci-Fi']",[2003],311512,6.4
Ex Machina (2015),"['Ex Machina (2015)', 'Ex Machina (2015)', 'Ex_Machina (2015)']","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",[2015],311376,7.7
In Time (2011),"[""I'm.mortal (2009)"", 'In Time (2011)', 'In Time (2011)', 'In Time (2011)', 'In Time (2011)', 'In Time (2011)', 'In Time - Deine Zeit läuft ab (2011)', 'Now (2011)', 'Untitled Justin Timberlake/Amanda Seyfried Thriller (2010)']","['Action', 'Sci-Fi', 'Thriller']",[2011],311141,6.7
Nightcrawler (2014),"['Lo sciacallo - Nightcrawler (2014)', 'Nightcrawler - Jede Nacht hat ihren Preis (2014)']","['Crime', 'Drama', 'Thriller']",[2014],309595,7.9
Midnight in Paris (2011),"['Midnight in Paris (2011)', 'Midnight in Paris (2011)', 'Midnight in Paris (2011)', 'Minuit à Paris (2011)']","['Comedy', 'Fantasy', 'Romance']",[2011],308854,7.7
Mission: Impossible (1996),"['Mission Impossible (1996)', 'Mission: Impossible (1996)', 'Mission: Impossible (1996)', 'Mission: Impossible (1996)', 'Mission: Impossible (1996)']","['Action', 'Adventure', 'Thriller']",[1996],307644,7.1
Godzilla (2014),"['Gojira (2014)', 'Nautilus (2014)']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[2014],307139,6.5
Saw (2004),"['Saw (2005)', ""Saw - L'enigmista (2005)"", 'Saw - Wessen Blut wird fließen? (2004)']","['Horror', 'Mystery', 'Thriller']",[2004],306897,7.7
Furious 6 (2013),"['Fast & Furious 6 (2013)', 'Fast & Furious 6 (2013)', 'Fast & Furious 6 (2013)', 'Fast & Furious 6 (2013)', 'Fast & Furious 6 (A todo gas 6) (2013)', 'Fast 6 (2013)', 'Fast and the Furious VI (2013)', 'Furious VI (2013)']","['Action', 'Crime', 'Thriller']",[2013],306896,7.1
Wanted (2008),['Wanted - Scegli il tuo destino (2008)'],"['Action', 'Crime', 'Fantasy', 'Thriller']",[2008],304887,6.7
Die Hard with a Vengeance (1995),"['Die Hard - Duri a morire (1995)', 'Die Hard 3 (1995)', 'Die Hard: New York (1994)', 'Die Hard: With a Vengeance (1995)', 'Die Hard: With a Vengeance (1995)', 'Die Hard: With a Vengeance (1995)', 'Die Hard: With a Vengeance (1995)', 'Simon Says (1995)', 'Stirb langsam - Jetzt erst recht (1995)']","['Action', 'Adventure', 'Thriller']",[1995],304549,7.6
28 Days Later... (2002),"['28 Days Later (2002)', '28 Tage später (2003)', '28 Tage später (2003)', '28 giorni dopo (2003)']","['Drama', 'Horror', 'Sci-Fi', 'Thriller']",[2002],304514,7.6
Cloverfield (2008),"['1-18-08 (2008)', 'Cheese (2008)', 'Clover (2007)', 'Cloverfield (2008)', 'Monstrous (2008)', 'Slusho (2007)', 'Untitled J.J. Abrams Project (2007)']","['Action', 'Horror', 'Sci-Fi', 'Thriller']",[2008],304199,7.0
Bruce Almighty (2003),"['Bruce Allmächtig (2003)', 'Bruce Allmächtig (2003)', 'The Title of this Motion Picture is None of Your Buisness (2002)', 'Una settimana da Dio (2003)']","['Comedy', 'Drama', 'Fantasy']",[2003],304123,6.7
The Hateful Eight (2015),"['The H8ful Eight (2015)', 'The Hateful 8 (2015)', 'The Hateful 8 (2016)', 'The Hateful Eight (2015)']","['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']",[2015],304026,7.9
Tangled (2010),"['Rapunzel (2010)', 'Rapunzel (2010)', 'Rapunzel - Neu verföhnt (2010)', 'Rapunzel Unbraided (2010)', ""Rapunzel: L'intreccio della torre (2010)"", 'Tangled (2010)']","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",[2010],303593,7.8
Knocked Up (2007),"['Beim ersten Mal (2007)', 'Molto incinta (2007)', 'Untitled Judd Apatow Project (2005)']","['Comedy', 'Romance']",[2007],303190,7.0
The Princess Bride (1987),"['Die Braut des Prinzen (1988)', 'Die Braut des Prinzen (1988)', 'Die Braut des Prinzen (1991)', 'La storia fantastica (1988)', ""The Bridges' Bride (1989)""]","['Adventure', 'Family', 'Fantasy', 'Romance']",[1987],302054,8.1
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),"['Borat (2006)', 'Borat (2006)', 'Borat (2006)', 'Borat! (2006)', 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)', 'Borat: Kulturelle Lernung von Amerika um Benefiz für glorreiche Nation von Kasachstan zu machen (2006)', ""Borat: Studio culturale sull'America a beneficio della gloriosa nazione del Kazakistan (2006)""]",['Comedy'],[2006],301891,7.3
The Illusionist (2006),"['Iluzionista (2006)', ""The Illusionist - L'illusionista (2006)"", 'The Illusionist - Nichts ist wie es scheint (2009)']","['Drama', 'Mystery', 'Romance', 'Thriller']",[2006],301631,7.6
Collateral (2004),"['Collateral (2004)', 'Collateral (2004)', 'Untitled Michael Mann Project (2003)']","['Crime', 'Drama', 'Thriller']",[2004],299302,7.6
Platoon (1986),"['Platoon (1986)', 'Platoon (1986)', 'Platoon (1986)', 'Platoon (1986)', 'Platoon (1986)', 'Platoon (1986)', 'Platoon (1986)', 'The Platoon (1985)']","['Drama', 'War']",[1986],299129,8.1
Black Hawk Down (2001),"['Black Hawk Down (2001)', 'Black Hawk Down (2001)', 'Black Hawk Down (2001)', 'Black Hawk Down - Black Hawk abbattuto (2001)']","['Drama', 'History', 'War']",[2001],298568,7.7
Predator (1987),"['Alien Hunter (1987)', 'Hunter (1987)', 'Predator (1987)', 'Predator (1987)', 'Predator (1987)', 'Primevil (1987)']","['Action', 'Horror', 'Sci-Fi', 'Thriller']",[1987],296853,7.8
Suicide Squad (2016),"['Bravo 14 (2015)', 'Suicide Squad (2016)', 'Task Force X (2016)']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[2016],296093,6.4
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)","['Die Chroniken von Narnia - Der König von Narnia (2005)', ""Le cronache di Narnia - Il leone, la strega e l'armadio (2005)"", 'The Chronicles of Narnia (2005)']","['Adventure', 'Family', 'Fantasy']",[2005],294267,6.9
Despicable Me 2 (2013),"['Cattivissimo me 2 (2013)', 'Ich - Einfach unverbesserlich 2 (2013)']","['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",[2013],294235,7.5
Dumb & Dumber (1994),"['A Power Tool Is Not a Toy (1994)', 'Dumb & Dumber (1994)', 'Dumb Happens (1994)', 'Dumb and Dumber (1994)', 'Dumm und Dümmer (1995)', 'Misled and Uninformed (1994)', 'Scemo & più scemo (1994)', 'Scemo & più scemo (1994)']",['Comedy'],[1994],293802,7.3
Back to the Future Part III (1990),"['Ritorno al futuro - Parte III (1990)', 'Three (1990)', 'Zurück in die Zukunft III (1990)', 'Zurück in die Zukunft III (1991)']","['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Western']",[1990],293345,7.4
The Devil Wears Prada (2006),"['Der Teufel trägt Prada (2006)', 'Il diavolo veste Prada (2006)', ""Le diable s'habille en Prada (2006)""]","['Comedy', 'Drama']",[2006],292830,6.8
Super 8 (2011),"['Acadia (2011)', 'Darlings (2011)', 'Super 8 (2011)', 'Super 8: The IMAX Experience (2011)', 'Wickham (2011)']","['Mystery', 'Sci-Fi', 'Thriller']",[2011],292678,7.1
Spectre (2015/I),"['Bond 24 (2015)', 'Bond24 (2015)', 'James Bond 007 - Spectre (2015)', 'Spectre (2015)', 'Spectre (2015)']","['Action', 'Adventure', 'Thriller']",[2015],292239,6.8
Big Hero 6 (2014),['Baymax - Riesiges Robowabohu (2015)'],"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Sci-Fi']",[2014],291837,7.9
The Italian Job (2003),"[""Braquage à l'italienne (2003)"", 'The Italian Job - Jagd auf Millionen (2003)', 'The Italian Job - Jagd auf Millionen (2003)']","['Action', 'Crime', 'Thriller']",[2003],290949,7.0
Terminator Salvation (2009),"['Project Angel (2008)', 'T4: Salvation (2009)', 'Terminator 4 (2007)', 'Terminator Salvation (2009)', 'Terminator Salvation: The Future Begins (2008)', 'Terminator: Die Erlösung (2009)', 'Terminator: Die Erlösung (2009)']","['Action', 'Adventure', 'Sci-Fi']",[2009],290714,6.6
Ocean's Twelve (2004),"['Honor Among Thieves (2004)', ""Ocean's 12 (2004)"", ""Ocean's Twelve (2004)"", ""Ocean's Twelve (2004)""]","['Crime', 'Thriller']",[2004],290704,6.4
Cloud Atlas (2012),"['Cloud Atlas (2012)', 'Cloud Atlas (2012)', 'Cloud Atlas (2012)', 'Cloud Atlas - Tutto è connesso (2012)', 'Der Wolkenatlas (2012)']","['Drama', 'Sci-Fi']",[2012],290695,7.5
Fast Five (2011),"['Fast & Furious 2 (2010)', 'Fast & Furious 5 (2011)', 'Fast & Furious 5 (2011)', 'Fast & Furious 5 (2011)', 'Fast & Furious 5 (2011)', 'Fast & Furious 5 (2011)', 'Fast & Furious 5: Rio Heist (2011)', 'Fast & Furious 5: Rio Heist (2011)', 'Fast & Furious Five (2011)', 'Fast Five: The IMAX Experience (2011)', 'The Fast and the Furious 5 (2011)', 'The Fast and the Furious 5 (2011)']","['Action', 'Crime', 'Thriller']",[2011],290212,7.3
2012 (2009/I),"['2012 - Das Ende der Welt (2009)', '2012: An IMAX Experience 3D (2009)', 'Farewell Atlantis (2008)']","['Action', 'Adventure', 'Sci-Fi']",[2009],289691,5.8
Moneyball (2011),"['Die Kunst zu gewinnen - Moneyball (2011)', ""L'arte di vincere (2011)"", ""Moneyball - L'arte di vincere (2011)""]","['Biography', 'Drama', 'Sport']",[2011],289458,7.6
E.T. the Extra-Terrestrial (1982),"[""A Boy's Life (1981)"", 'E.T. (1982)', 'E.T. - Der Außerirdische (1982)', 'E.T. - Der Außerirdische (1991)', ""E.T. - L'extra-terrestre (1982)"", 'E.T. and Me (1981)', 'Night Skies (1981)']","['Family', 'Sci-Fi']",[1982],289365,7.9
